emp_id,age,gender,tenure,department,attn_check,js1,js2,js3,eng1,eng2,eng3
E140,56,1,2.2,3,4,4,3,1,NA,3,5
E141,60,2,18.9,2,4,3,2,2,3,4,4
E142,45,2,7.3,2,4,4,2,3,4,4,3
E143,43,1,7.7,4,4,3,NA,2,2,3,2
E144,60,2,12.7,2,4,4,1,2,4,5,5
E145,58,2,14.7,3,4,3,4,2,4,4,4
E146,38,1,4.4,4,4,4,5,2,3,4,3
E147,24,2,12,3,4,NA,3,1,1,3,5
E148,53,2,16.9,2,4,3,3,1,3,4,4
E149,59,1,20,1,4,5,3,1,4,3,3
E150,37,1,0.7,3,4,5,NA,2,2,1,2
